"","Reviewers","Reviews","Ratings","Date","TextReviews"
"58","RougeBatman"," More than just Anime. Absolute Masterclass of fictional medium.","10/10","3 August 2021","An Incredible story telling with twists and turns, A fleshed out Fictional yet somehow real world, Deep Character motivations With their character rich moments, Gold comedy, Amazing Mystery, Lore and foreshadowing. High pitched Emotional moments like nothing else. Best Fictional Story ever."
"59","angepavl"," Life lessons i grew up with!","","7 January 2022","What can i say about this anime? It taught me all kinds of things growing up. I basically grew up with this crew. I think the most important thing that this journey showed me is ,that there is no shame in needing others. Loyal ,trustworthy friends are worth fighting for when you discovering yourself in this world.Never give up on your dreams! Find friends you love and share your passion for their goals as well. Just remember: Life and all it's emotions are better when they are shared!"
"60","unkommon"," Tentative Review (Wano Country Arc)","10/10","6 May 2021","I'm writing this possibly midway through the Wano Country Arc, the manga is still in Act 3 (of a potential? 5) and who knows how much is ~really~ left of One Piece. We could be looking at as few as 3 years or as many as 10. One thing is for certain, even though the ride isn't over, the ride so far has been absolutely, without a doubt, one of the best journeys fiction has ever offered. Eiichiro Oda is a literary genius.For being a manga and an anime that have taken no more than a few weeks breaks at a time, the quality to the quantity is beyond immaculate. From (basically) start to finish there has not been a dip in the quality of story-telling. One could say some of the best arcs took place earlier in the series, but that certainly doesn't discount just how fantastic some of the more recent arcs are. Even the (often contentious) Fishman Island Arc is leagues above some of the outstanding arcs of other popular manga/anime.Without diving too deep or giving too much away, one of the standalone factors that makes One Piece so beyond stellar is how impressively funny and brutally painful it can be, all within a couple pages or minutes. The fact that it is one of the funniest series in no way undermines the great depths of drama One Piece reaches. Are there funnier manga/anime? Are there sadder and more harrowing manga/anime? Yes and yes, but the fact that One Piece is such a master class in both comedy and drama only exacerbates just how freakishly human One Piece truly is. It captures beautifully the highs and lows of the human condition in such a way that seems impossible for a series with Devil Fruit abilities, haki, fishmen, sky people, giants, and singing skeletons.Beyond that, the thing that truly sets One Piece apart (and a term all too ubiquitous with the series) is its world building. The world of One Piece is MASSIVE, and that's not just describing the actual planet where the story takes place, but the lore, the characters, the relationships between characters so seemingly disparate the thread could only have been finessed by someone with a mind like Oda, a mind, mind you, that is no stranger to making obscure callbacks to details so minuscule hundred and hundreds of chapters ago that even the most devout fans can miss. One Piece is by and large one of the single most expansive fictional lores helmed by a single author (and illustrator!) For a little bit of context, the Lord of the Rings including The Hobbit is roughly 1,550 pages while One Piece is somewhere around 20,000 pages of illustration, and while a manga panel may not say exactly one thousand words, it's beyond commendable that one person could pen 20,000 pages of anything for one singular story. A singular story that encompasses so many characters, and insights, and backgrounds, and history, and minute details, that millions of people from virtually every country have come to see this tale and journey as something of a second world, a place they can escape to and join this magnificent captain and his ragtag crew as they journey to the end of the world.One Piece is truly something beyond magical, and when it eventually ends it will exist in the echelon of the greatest stories ever told. It could end right now and still make it into that category, but as any fan can tell you, the best is still yet to come. So, until then, this tentative review will have to do."
"61","conradcarlo_venzon-1"," Anime Of The Century... This Is Simply The Best!","","3 February 2008","The Anime ""One Piece"" takes place in a world where pirates rule the seas, Devil Fruits are scattered all over the world, and the most prized possession of Gol D. Roger is the target... One Piece!Gol D. Roger was the Pirate King who had fame, fortune, power, everything that anyone wanted to have... On the day of his execution, he revealed the location of his treasure, One Piece. He said that it is hidden somewhere in ""The Grand Line"".This made people set sail and try to obtain the treasure of treasures, One Piece. Sadly, many have failed and died trying to obtain it. But over the years, it has drawn attention to hundreds of Pirate groups who seek the title of Pirate King. The whole world has entered the Golden Era of Pirates. The Era where almost every pirate's dream is to become The Pirate King. They formed formidable crews to overcome those who are also seeking the treasure of treasures.This is where the story starts. The protagonist of the tale is a boy who had set his eyes on becoming the new Pirate King. The Boy's name is Monkey D. Luffy. He's the son of the most wanted man named Monkey D. Dragon and the grandson of Vice-Admiral Monkey D. Garp.Heads up, Portgas D. Ace is not Luffy's Brother. Ace is the son of the Pirate King and his real name was Gol D. Ace. He took his mom's surname Portgas, instead of Gol.On the island of East Blue, Luffy grew up in hoping to be a pirate someday. He befriends with a pirate named Captain Shanks. He looks up to Shanks as a hero and would do anything to be part of his crew. But he was too young at that time to become a part of the crew.One day Luffy accidentally ate the Devil's Fruit, Gomu Gomu (Rubber) that Shanks has at his possession. It gave Luffy the ability to become a human rubber. But once a person eats the Devil's Fruit, they'll be cursed with the powers forever and you'll lose the ability to move when they fall into the sea. Now Luffy is cursed to be a human rubber forever but vowed that even if he is cursed, he'd use this to his advantage to get the title of ""Pirate King"".As Shanks departs with his crew, he gave Luffy his most prized possession, his straw hat. He told him to keep it with him, until they meet again.A few years later, Luffy starts his quest to find some friends for his pirate crew. Throughout the series, he'll find new lands, new allies, treasures, dangers, and plenty of villains to face. On his journey to find new nakamas(friends), he met Roronoa Zoro the swordsman, Nami the navigator and thief, Usopp the Liar, Sanji the cook, Chopper the team's doctor, Franky the shipwright and Brook the musician.Their adventures can be unbelievably funny and other times, they're incredibly sad. There are only two animes that I cried on. This one and the other is Naruto. I can't hold my tears because this anime got into me.. Most of the background story of the characters are really really sad.This anime left me speechless the first time i saw it and it still leaves me speechless now.. And I still can't get enough of it. It even inspired me to create my own manga... The title is ""My Twelve Wings"" Hopefully, in the near future, it'll get published... hehe hopefully... I just started this morning but I already have an ending...Eiichiro Oda! You're my #1 favorite manga artist and thanks to you, the world of One Piece is made...Someday, I'll tell my future children and grandchildren the story of the almighty Monkey D. Luffy and his crew!I'll cherish this anime till the day I die"
"62","dollybear-07164"," Great Storyline","10/10","30 May 2021","The story was kind of childish and slow at first but I liked all the adventures! It also had a lot of comedy in the beginning, especially at Sky Island and Thriller Bark. But then I like how many mysteries there are later in the story. What is the Will of D, and why are there people with ""D"" in their name? Is it connected to the Poneglyphs or the ancient weapons? What is the Void Century and what happened during that time? Did Gol D Roger learn about it? I want the show to end to see the conclusion but I also don't want it to end at the same time. I hope no one in the crew dies later on, because Ace's death was sad, and he was just a side character, with little screen time and not even part of the crew. Even the Merry's death was sad and she's not even a living thing! I hope to see how this story progresses in the future!"
"63","sharmaakshat-38750"," Best anime","","20 January 2021","One piece is my favourite anime but the world created has many characters and aspects left to cover. I think 40% story is over till wano arc ends. Means another 1000 episode are left 😏"
"64",NA,NA,"9/10",NA,NA
"65",NA,NA,"",NA,NA
"66",NA,NA,"10/10",NA,NA
"67",NA,NA,"",NA,NA
"68",NA,NA,"10/10",NA,NA
"69",NA,NA,"",NA,NA
"70",NA,NA,"10/10",NA,NA
"71",NA,NA,"",NA,NA
"72",NA,NA,"10/10",NA,NA
"73",NA,NA,"",NA,NA
"74",NA,NA,"10/10",NA,NA
"75",NA,NA,"",NA,NA
"76",NA,NA,"10/10",NA,NA
"77",NA,NA,"",NA,NA
"78",NA,NA,"10/10",NA,NA
"79",NA,NA,"",NA,NA
"80",NA,NA,"10/10",NA,NA
"81",NA,NA,"",NA,NA
"82",NA,NA,"10/10",NA,NA
"83",NA,NA,"",NA,NA
"84",NA,NA,"9/10",NA,NA
"85","wisewebwoman"," An annual DVD event for me.","","7 December 2004","Watching this is a celebration of how Jane Austen should be interpreted.This version is true to the novel and true to the characters and the wonderful tension between Elizabeth and Darcy is beautifully depicted.Not for a moment do you think that these two are not meant to be together.The Austen wit of both the main characters and the minor roles are strongly projected and the costumes and sets are faithful to the era of Austen's writing.There is an incredible scene where Elizabeth is playing the piano and her eyes meet and hold on Darcy's who is at the other end of the room. Now, for me, that is one of the most sexy and sensual scenes I have ever seen. Everything is flawless about this production.Superlative, satisfying and stunning.Do not miss it. 10 out of 10."
"86","Wulfstan10"," Hard to Beat","10/10","7 March 2005","This version of Pride and Prejudice is simply outstanding and excels in essentially every aspect. It is faithful to the book, particularly capturing the spirit of the book and the energy and constant tension of the story. It excellently portrays the world of the book as it relates to the story, with keen attention to the details of costume, the furniture, etc. Moreover, the actors were on the whole outstanding. I fail to see how anyone could have portray Darcy better than did Colin Firth, who perfectly captured the character's aristocratic refinedness, his shyness and sense of decorum that come across as apparent stuffiness and disdain, and his underlying passion, all at the same time. He perfectly blends all these different traits and is utterly convincing in portraying the outward stiffness as a simple facade for the strong emotions and character underneath, rather than simply being stiff and wooden. His looks, and especially his eyes, say so much of the complexity of his character and his feelings with subtle expressions. Similarly Jennifer Ehle excellently portrays Lizzie, showing her to be tender, witty, thoughtful, occasionally prone to strong judgments without all the information, yet trying to grapple with different feelings as her involvement with Darcy, et al., progresses. David Bamber is great as Mr. Collins and perfectly conveys his mix of traits. Alison Steadman's histrionics and fickle opinions are wonderful as the mom, and remind me very much of an actual relative of mine, while Benjamin Whitrow is a great counterpart as the father who is outwardly usually calm and peaceful, yet always able to rile up his wife. The others are great, too, but there is no point in listing them all. The bottom line is that I find it hard to beat this production, which is utterly gripping and keeps anyone interested in these stories completely entranced the whole way through."
"87","Rosabel"," Perfect book, perfect film","","9 July 1999","A female journalist once wrote that no actress could ever portray Elizabeth Bennet to the satisfaction of a woman viewer for one very simple reason: every woman really visualizes herself in that role.  Jennifer Ehle has done the impossible - she is, and in my mind, forever will be, Elizabeth.  The beauty, wit, and sparkling liveliness of the character are perfectly captured in her performance.  And Colin Firth's Mr. Darcy is an exact match for her.  His smoldering good looks are wonderful, and he can portray reserve without descending into woodenness and blankness.  The scene where he and Elizabeth dance a long and stately dance together in the midst of a crowd is both controlled and exciting - with very little change of tone, and while preserving the most correct decorum, their conversation reveals dangerous undercurrents of emotion, and meanwhile the steps of the dance keep pulling them together and apart again. The rest of the characters are equally fine - David Bamber's obsequious Mr. Collins is especially unforgettable."
"88","pekinman"," A great adaptation of Jane Austen","10/10","8 August 2009","This version of 'Pride and Prejudice ' is one of the greatest adaptations of any classic book that has yet been filmed. This is due in large part to the masterful screenplay written by Andrew Davies. He has managed to lace together all the pertinent dialogue scattered about the chapters into cogent conversations without resorting to anachronistic modernisms. This allows the film to flow seamlessly and in a very satisfying manner. A great cast of actors has been given a fine script and they all turn in great performances. I wondered at the wild, over-sexed behavior of the youngest Bennet daughter, Lydia, here acted by Julia Sawalha. She is allowed to display her wide-ranging, formidable comedic talents. I especially loved the little snort she emits in an early scene, displaying that she is truly her mother's favorite daughter and very much like her. Mrs Bennet, played hilariously by Alison Steadman, is a vulgar, loud and ostentatious woman and I liked her very much in this part.Mr Bennet, the long-suffering patron of this family is played with laconic humor by Benjamin Whitrow, a piece of perfect casting. Jennifer Ehle is splendid as Elizabeth Bennet, the heroine who gets her man in the end, as they always do in Austen's novels. I won't belabor the countless nuances of her characterization other than to say that she is deeply satisfying at every level. Her elder sister, Jane, is played by Susannah Harker ('House of Cards') with a sweetness that stops just short of simpering.The middle daughter, Mary, is an early prototype for the first suffragettes. Lucy Briers had quite a challenge to make anything of Mary who is often relegated to the background. But Briers sets the tone for one of the most hilarious scenes in any film I've ever seen; the dinner party at the Netherfields Ball where she entertains the guests by singing and playing atrociously. Note Anna Chancellor (Miss Bingley) in this scene. I burst out in loud guffaws at her reactions.Anna Chancellor was an inspired piece of casting for Miss Caroline Bingley the aristocratic and condescending sister of Jane Bennet's beloved. Miss Bingley is an interesting character. The Prejudice against her is immediate, on the part of Elizabeth, as Miss Bingley is aloof and fork-tongued. But she is really a good person who tells the truth. It's just that she is a product of her highly sheltered and sophisticated environment and ""comes off"" snooty and vindictive. Colin Firth is ideal as Mr Darcy the romantic interest of Elizabeth Bennet's life. Tall, handsome, well set-up, intelligent and gentle, Firth's portrayal possesses all the traits of a high-born gentleman. He is NOT a snob but he is aloof and easily bored. Not unusual in a very intelligent person. However, Elizabeth's Prejudice, out of ignorance of Darcy's life, seems a worse misdemeanor than his Pride which seems like arrogance but isn't.David Bamber ('Heavy Weather') portrays the obsequious Reverend Collins with oily unctuousness. Collins is funny, yes, but also maddening in his obtuse inability to comprehend the feelings and thoughts of anyone besides himself. Only his new wife, Charlotte Lucas, comprehends his nature and finds happiness in her life with him. Charlotte is one of those characters, along with Jane Bennet and Mrs Gardiner, who occupy points of equilibrium and sensibility to their environments. When any of these 3 women are holding forth one senses serenity in the atmosphere that stops the whirling dizziness of most of the characters' states-of-mind.Barbara Leigh-Hunt turns in a masterful performance as the monstrous bitch Lady Catherine de Bourgh. Such spite and malice as Lady Catherine possesses is spat out with acidic nastiness. Her first scene when she meets Elizabeth is also extremely funny.There is a minor masterful performance from Harriet Eastcott, who plays nursemaid-companion to Lady de Bourgh's sickly daughter. Without uttering a word Ms Eascott conveys volumes as to the put upon, subservient and terrified situation of Mrs Jenkinson.One of the great delights of this mini-series is how it takes its time to actually observe this long-dead society. The ball scenes are gorgeously executed. The choreography of those intricate and beautiful dances is hypnotizing. There are long periods where the camera watches these dancers, moves about among them. It is beautiful to behold. The actors must have been sorely challenged to deliver their lines in such a natural manner and yet having to time them to fit the complicated steps they have to perform.All the technical aspects of this film are superb, especially the editing. The forte-piano playing of Melvyn Tan glues the entirety together. Simon Langton's direction is so good as to be invisible. I cannot praise this version of 'Pride and Prejudice' enough. It is one of the two great Jane Austen adaptations on film, along with Roger Michell's wonderful version of 'Persuasion' with Amanda Root and Ciaran Hinds."
"89","Qanqor"," Perfection","","8 March 2011","This is the most pointless review I've ever written here, since there are already tons of reviews, tons of praising reviews, and everything that I might want to say has already been said. So nobody is going to find my review, nobody is going to read it, nobody is going to find it useful. It is for this reason that I've put off writing this for so long.But I watched this series again last week, and I just love it so much-- to the point of reverence-- that I've elevated it into the top echelon of my very favorite movies. For many years now I've been saying I have three favorite movies (North By Northwest, The Music Man, and Airplane), but henceforth I have four favorites. And so I'm finally writing a review, mostly because it bugs me that I wrote reviews for lessor versions of P&P but not this one.This one is the standard by which all others should be judged. Scene after scene, character after character, line after line, it is just perfect. Or so close to it that I'm not going to quibble.But everyone has already gone over its many merits, and there's no point in me repeating those praises. Still, one thing which deserves special comment is the music. The main theme is really, really good; a solid melody, some superb chord changes, and well scored. I've had it stuck in my head now for over a week now. And it's skillfully and effectively worked throughout the production in various variations, if one pays attention.Finally, I have to give strong praise for the extremely minor character of Mary. This is the rare production that really gets Mary right: insufferably moralizing and disdainful (and actually homely, rather than typical Hollywood stick-an-ugly-pair-of-glasses-on-her homely). Poor Mary. She really gets the short end of the stick in the Bennet home. Jane and especially Lizzy are beloved by their father; Kitty and especially Lydia are the mother's favorites. But really, nobody cares very much for Mary. And, not being pretty, the young men officers are indifferent as well. And so, finding little pleasure in the world, she shuns pleasure right back, and retreats into her sermons and books. It always seems like a defense mechanism rather than a true passion. This is the only production I can recall that really brings forth that aspect of the character.Look at this. For a review I wasn't even going to write, I've rambled on far too long. In any case, if you *haven't* seen this production of Pride and Prejudice, do so at once!Also (and perhaps most importantly): It was seeing this series that eventually got me to go back and actually read the *book*. And oh was I delighted I did! If you've never read the original Jane Austen book of Pride and Prejudice, do so at once!"
"90","ROCKY-19"," It's about time!","10/10","22 December 1998","After so many years of seeing adaptations of Pride and Prejudice on stage, screen and television, I had long given up hope of an entertaining and faithful adaptation. Then a miracle!  Class, style, humor and intelligence is alive and well! Direction, script and cinematography are all exceptional in A&E's production. Imagine watching a six-hour program over and over and over. It has to be done. Jennifer Ehle gives Elisabeth all the archness, tenderness, and homey wit that Austen could desire. Each individual cast member gives a memorable performance that makes the character real. Simon Langton, as director, has a real ear for dialogue and silence. Indeed, it is often the silences in conversation that are the most hilarious. The most serious fault in most previous productions was the casting of Darcy. A stiff actor in a stiff part gives you only a stiff character (even, God bless him, Olivier). If Darcy fails, the entire production is a waste. The inspired casting of Colin Firth in this production was defining. Putting Firth, a naturally lively chap, in the role was like harnessing energy. You can often feel that intensity of containment, which is just perfect for Darcy. This is a must-see for any loyal Austen reader or anyone else who likes romance, wit and social commentary all rolled into one. And pity Emma Thompson's Sense and Sensibility, which opened in the U.S. shortly after Pride and Prejudice debuted. Comparisons were inevitable and did not favor S&S."
"91","SimonJack"," Excellent series of Austen classic not likely to be bettered","","17 April 2014","Of the several versions of ""Pride and Prejudice"" I have seen, this 1995 BBC mini-series is by far the best. First, it gives us more of the story than any other version, with 5 ½ hours of film time. The 1980 minis- series was more than an hour shorter; the 1940 film was under two hours; and the 2005 film was barely two hours. Second, it develops all the characters more fully, including the lesser supporting roles. Third, its script additions to the story seem to fit best Jane Austen's style and plot, so they enrich the story where otherwise we would have holes. Austen said she didn't know the manners and behavior of men when they were not in the company of women. So she didn't write scenes or situations with just men in them. Writer Andrew Davies wrote some excellent filler for this film. The opening with Darcy and Bingley riding their horses across fields to see Bingley's new country home is a great introduction. Toward the end, we have another perfect scenario. Darcy rides to Pemberley a day ahead of his entourage. He stops to cool off with a swim in his lake, and then bumps into Elizabeth as he walks up to his house in dripping wet clothes. It is a more human way for the couple to meet to rekindle their relationship. Here, on his home territory, he loses his shyness and begins to warm up. Everything about this film excels. But the script and acting raise it above all other versions. Those who see P&P simply as a romance or love story will be satisfied with the shorter movies. For sure, it is a beautiful story of love, especially two loves. But those loves are ensconced in a critique of society and the times. Austen deals with social mores, the class system of the time, families, marriage and morality, manners and respect, and vice and virtue. And, it's how she works all this together that gives depth to the story. This film gives us the greatest satisfaction with how the love stories turn out.Most – but not all – of the characters in this version are the best portrayals among all the P&P films made. Most viewers admire Jennifer Ehle and Colin Firth for their roles. But some others are equally good, and I think a couple are very exceptional performances. For sure, Ehle is superb as Elizabeth. With her constant smile and eyes she shows restraint in her silence at times, and wonderful wit in her barbs at other times. Firth, better than anyone else in the role, shows Darcy's frustration at times over his social shyness. His consternation is very noticeable at not being able to break the ice with Elizabeth as his attraction for her grows.Lydia and Kitty have much more screen time here with their childishness. It gives us a better sense of how Mr. Bennett felt as the father of the silliest girls anywhere. Mr. Bennett is best played here by Benjamin Whitrow, although Moray Watson was very good as well in the 1980 mini- series. Whitrow shows the right amount of disdain, affection, hurt and withdrawal. It's clear why Lizzie likes him, because of his clear-headedness, but she also rues that he has lost respect for his wife. Crispin Bonham-Carter seems best fit for the part of Mr. Bingley, both in physical appearance and in his persona. The Bingley sisters don't stand out in one particular film. But Anna Chancellor has more time to develop her character here, and gives a biting portrayal of the caustic Miss Bingley. All of the roles of Jane have been very good; but a nod goes to Susannah Harker in this 1995 film. She is more naturally shy in her humility and goodness. The character of Wickham is played well in all versions; but again, Adrian Lukis really shines in this one. We see the uncertainty in his face as he learns from Lizzie that her views of Mr. Darcy are changing. Charlotte Lucas is played best here by Lucy Scott. She seems more natural, yet uncomfortable with her appearance. She is adroit in her observations and in the knowing exchanges she has with Lizzie. The only role I didn't think was very good or right was that of Lady Catherine de Bourgh. Barbara Leigh-Hunt seems way too old to have a young teenage daughter. Judy Parfitt nailed that role in the 1980 mini-series. I saved for last the two roles I think excel the most – even above those of Elizabeth and Darcy. No one in any other version comes close to the outstanding performance Alison Steadman gives here as Mrs. Bennet. She put such exuberance and flighty vitality into the role of the silly, nearly hysterical housewife, that it was hard not to dislike her. We can empathize with Mr. Bennet and understand how he came to lose respect for her. Steadman brings her consummate acting abilities to the part and engages viewers to feel real embarrassment for her. That is great acting. And, that's what Elizabeth begins to see toward the end. Finally, Mr. Collins. David Bamber's interpretation is likely the most difficult of any Austen role to play. Did Jane Austen write or envision him as such a wimpish and puerile person? Clearly, she wrote some criticism, if not sarcasm, for the church of the time in its relationships with the classes. Bamber's portrayal of Collins helps focus on that issue. This film gives a much better view and treatment of this character than any other film. So much went into the making of this series, and it is nearly perfect in all aspects. It's hard to imagine that any attempt will even be made to try to better this version of ""Pride and Prejudice."" It is the classic film rendition of a great classic novel."
"92","keng5"," Doing justice to Jane Austen.","10/10","23 May 2005","This is a drama to rave about. I've not seen its like on television before; nor do I expect to see its like again. It was superb. It was almost perfect - though not quite.It is rare to find a Jane Austen dramatisation that comes so near to being perfect on every level and that stays so true to the original novel. The greater part of the dialogue in the series is Jane Austen's own and every scene is included and follows the same chronological order. The drama departs from the novel in only two instances. In order to extend our knowledge of the characters of Darcy(Colin Firth), and Mr Collins(David Bamber), two scenes are added; to demonstrate that Darcy is not just an effete aristocrat but a real man worthy of Elizabeth's love we are shown him indulging in manly pursuits; fencing, and swimming in his private lake (it puzzles me why so many women seem to drool over his wet-shirt scene); and to demonstrate that Mr Collins is an idiotic, narrow- minded prude we are shown him trembling with embarrassment and horror when he happens to come across Lydia (Julia Sawalha) in a state of dishabille. David Bamber makes Mr Collins deliciously toadying and obsequious. A remarkable piece of acting.It is its faithfulness to the original that makes this drama so good. No one has ever written a more tightly plotted novel. Its series of climaxes make the novel difficult to put down; just as one plot-line reaches its climactic conclusion, another is building. And the duel of wits and sharp dialogue between Darcy and Elizabeth (Jennifer Ehle) as they get to know each other is entrancing. And then comes that moment. She is at the piano befriending Darcy's sister, Georgiana (Emilia Fox), when he holds her gaze with a silent declaration of his love and admiration. This involved a fine piece of editor-timing; a split second either way, either too long or too short, and the poignancy of that moment would have been lost. It is interesting to compare Colin Firth's Darcy with that of Lawrence Olivier's Darcy in the Hollywood film. Olivier falsely portraits him as appealingly shy and self-conscious. But Darcy was in no way shy, he was just proud, with every reason to have a good opinion of himself. He found it impossible to imagine that anyone in a lower strata of society, living in a small provincial town, could be his equal - until he met Elizabeth!However, I felt there was one weak link in the chain of superb acting; Alison steadman. Many will disagree but I think she over-acted, turning her Mrs Bennet into a nerve- grating, neurasthenic caricature. But apart from that, I heartily recommend this video. Don't miss it. You'll not see its like again. I must just mention the charming piano music by Carl Davis, so beautifully evocative of a beautiful period in history (for the rich)."
"93","k-king2"," A masterpiece!","","12 July 2004","First let me state that I am a 30 something male who generally does not like chick flicks.  I have not seen any other version nor read the book.
The mini-series is just perfect.  It is a fantastic love story that is witty, charming, and very funny.  I am not sure how many times I have watched it now, at least 5, and it improves with each viewing.  The story and characters are so rich and interesting and the acting is just superb.  I have a Top Ten list of movies/shows based on the premise that you are stuck on an island and can only bring 10 movies with you to watch for the rest of your life.  This version of Pride and Prejudice has a permanent spot on that list.  I rarely give 9s when voting here and I give this a 10! 
If you like period pieces, good acting, or a great love story then this is a must see!"
"94","Tom_Benton"," Quite simply the most flawless thing I've ever seen.","10/10","29 June 2004","Much had I heard of Jane Austen's legendary classic, ""Pride and Prejudice"", and so to kick off my summer I set about reading it. It was possibly the greatest book I'd ever read. I looked up the different screen adaptations of it, and found that Colin Firth had starred in one (I previously enjoyed him in ""Bridget Jones's Diary"" - which is, in fact, a semi-remake of Austen's tale - and ""Love Actually""). So I traveled to my handy-dandy Borders store and picked up a DVD copy. As I walked out of the store, I hoped that I hadn't wasted $40 for this thing. And you know what?It was worth every last penny.""Pride and Prejudice"" is quite simply the most flawless thing I've ever seen. The story involves Elizabeth Bennet (Jennifer Ehle), who's opinion changes greatly of a seemingly very proud, rude man that moves into town. To sum up the whole story would be impossible, as there isn't really a simple lot.First of all, let's examine the overall look of the thing. Simon Langton's direction is excellent, and he succeeds in getting the most breathtaking views of everything and anything. The production design and costuming is perfect, capturing the time without error, and the locations are simply gorgeous. Carl Davis' score is terrific and fitting (also to the times). Andrew Davies' script brings every last scene from the book and then pops in some new, being as absolutely faithful to the book as anyone could hope to be.But now on to the casting. The cast is outstanding, although the film's one problem (albeit a very slight one) is the role of Mrs. Bennet, who - although wacky in the book - is completely over-the-top here and quite frequently even annoying. But the stars of the film couldn't be better. Jennifer Ehle is absolutely wonderful as Lizzy Bennet, and her eyes are so dazzling that they mesmerized me throughout the whole 300 minutes! The show is completely stolen, however, by Colin Firth as Mr. Darcy. Colin Firth is not just playing Mr. Darcy; Colin Firth IS Mr. Darcy. He was born to play this role, and plays it so flawlessly, that it deserves to be considered one of the best performances any actor has ever given. Words cannot describe Firth's perfection as Darcy.All in all, ""Pride and Prejudice"" is the greatest thing ever to air on television, and were it a film, it would be the greatest film of all-time. Those of you who have read the book shouldn't worry a bit about the long running time of the mini-series; as impossible as it seems, you shan't even notice. When I finished the series, I had such a feeling of satisfaction as no entertainment has ever before granted me.This is perfection."
"95","nycritic"," The BBC Version","","12 April 2006","At 300 minutes, it might seem a bit steep to sit through -- after all, the novel is barely under 400 pages and its plot is concise enough to garner a shorter transition from book form to images. But, when you sit and read PRIDE AND PREJUDICE, widely considered to be Jane Austen's magnum opus, and savor its miniaturist style, its sharp language, the treatment of even its minor characters as a huge tapestry, there is no other way to create a complete vision of the novel but to do a televised re-working of her novel. (The advent of Emma Thompson and the 2005 movie now proves otherwise.) The interesting aspect of the miniseries is that it never feels like it's moving at a crawl. The story of Austen's micro-society develops at its own pace, much like the novel: it's as if the novel had literally come alive and were being acted by the people from FAHRENHEIT 451, complete with costumes and settings. We meet the Bennets right at the beginning when they discuss how Netherfield is to be let at last, and that its owner is none other than an eligible bachelor. Elizabeth, the second eldest Bennet herself is the one who utters the opening line of Austen's book -- and it's appropriate that she be the one who does so: listen to how she says it, not to when she does or who she does to.The arrival of such a man causes an uproar it the small community. Charles Bingley is a congenial man, personable, but has some odious sisters, Caroline and Louisa Hurst. His friend, Mr. Darcy, is also eligible and ten times richer than Bingley, but is soon to be revealed to be someone disagreeable. At the ball, Jane Bennet becomes close with Charles (much to her mother's delight) and Elizabeth seen to be a little taken with the imposing nature of Darcy, but his aloof nature and continuous rebuffs, plus a harsh commentary he makes of her within earshot hurts her deeply: her pride has been hurt; hence, from now on, she will have nothing to do with him.But fate has her meet him again when Jane falls ill after she gets called to spend an evening with Bingley and his sisters. While Darcy seems to be taking a repressed liking to Elizabeth, she is unaware of it, and grows increasingly hostile towards him, particularly after learning from George Wickham that he behaved quite badly towards him. In the middle of this, and because the Bennets have no son, the girls stand no chance of inheriting. Their property has been entailed to a male heir. Reverend Collins comes looking for a wife, proposes to Elizabeth, gets rebuffed, and winds up marrying Charlotte Lucas -- Elizabeth's best friend. On top of this, the Bingleys leave Netherfield, and Jane's future is left up in the air.Eventually the plot reaches a head, and like the novel, it occurs midway. Jane Austen must have been aware at an empiric form that editing can balance out a work and enhance its effect, because in putting the crisis of the action halfway she establishes that Elizabeth and Darcy will have to shift towards each other in a realistic way, the same way other events will allow Jane and Bingley to consummate their union. This is what makes this story so enduring -- everything in it is realistic as possible, adhering to what society's attitude towards woman and men of their time was, where marriage was taken as serious as a retirement plan or having medical benefits. The miniseries captures the slow breakdown of Austen's plot in a way that could have been stagy but is not. Not one thread is left untold, unlike the 1940 version (despite the presences of Laurence Olivier and Greer Garson) where the story looked a little more like farce and characters in the book behaved much differently in that film version. Jennifer Ehle and Colin Firth are perfect in their renditions of Elizabeth and Darcy. She resembles an earthier version of Meryl Streep down to her voice and mannerisms; he is as aloof as alluring. Who wouldn't believe they didn't have what it took to merge together? Both have to do much acting without expressing much if at all, yet Ehle brings a nice iconoclastic attitude towards her character, the same way Firth embodies masculine arrogance.Now, with the 2005 film version having got the praise it did, there will be people who prefer this version to the movie version and vice versa. There may be Olivier purists who will balk at such a long version. Having read the novel several times, I can relate to this one best because it retains pages of dialog intact without making it too talky and that's a tricky thing to do. Minus Alison Steadman's character, everyone is at a uniform level, but Steadman is a shade too shrill. While Mrs. Bennet wasn't the most agreeable person in the world, I believe that she has been represented better in the movie version because while still being a hyperactive, over-emotional woman, she was aware her daughters would be left destitute if they did not marry well. Even so, she does have a delicate tightrope to walk and I found myself liking Mrs. Bennet in the end and understood she was also a part of this enormous tapestry that Austen herself had woven so lovingly."
"96","Adriane"," Very true to the book (that's why it was worth watching)..","10/10","30 April 2001","I am a college student and I love reading classic literature. Jane Austen is one of my favorite writers of all time, and I was very happy with the movie versions of both Emma (with Gwyneth Paltrow) and Sense and Sensibility (with Emma Thompson & Kate Winslet). Both of the books are classics, and the movies are very true to their predescesors. This was no exception. I have read the book, and loved it, and I absolutely loved this mini-series. I was told by my English professor that it was the best version, and I was not happy with the version with Laurence Olivier. The cast was perfect, and how I loved seeing the relationship between Elizabeth & darcy unfold! One of the best 5 hours ever spent on a movie. 10/10"
